Name,Survival,Fare,Age,PassengerClass,No_of_siblings_plus_spouses_on_board,No_of_parents_plus_children_on_board,Sex_female,Sex_male,Sex_nan,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unkown,Embarked_Cherbourg,Embarked_Queenstown,Embarked_Southampton,Embarked_Unknown
"Jenkin, Mr. Stephen Curnow",0,10.5,32.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Goodwin, Miss. Lillian Amy",0,46.9,16.0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Chronopoulos, Mr. Apostolos",0,14.4542,26.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Bing, Mr. Lee",1,56.4958,32.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Moen, Mr. Sigurd Hansen",0,7.65,25.0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Staneff, Mr. Ivan",0,7.8958,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Moutal, Mr. Rahamin Haim",0,8.05,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Caldwell, Master. Alden Gates",1,29.0,0.83,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Dowdell, Miss. Elizabeth",1,12.475,30.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Waelens, Mr. Achille",0,9.0,22.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Sheerlinck, Mr. Jan Baptist",1,9.5,29.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"McDermott, Miss. Brigdet Delia",1,7.7875,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Carrau, Mr. Francisco M",0,47.1,28.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,15.85,33.0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Slocovski, Mr. Selman Francis",0,8.05,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Fortune, Miss. Mabel Helen",1,263.0,23.0,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Celotti, Mr. Francesco",0,8.05,24.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Dean, Mr. Bertram Frank",0,20.575,26.0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Coxon, Mr. Daniel",0,7.25,59.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Shorney, Mr. Charles Joseph",0,8.05,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Goldschmidt, Mr. George B",0,34.6542,71.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Greenfield, Mr. William Bertram",1,63.3583,23.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Doling, Mrs. John T (Ada Julia Bone)",1,23.0,34.0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Kantor, Mr. Sinai",0,26.0,34.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Petranec, Miss. Matilda",0,7.8958,28.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Johansson, Mr. Gustaf Joel",0,8.6542,33.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Gustafsson, Mr. Anders Vilhelm",0,7.925,37.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Mionoff, Mr. Stoytcho",0,7.8958,28.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Salkjelsvik, Miss. Anna Kristine",1,7.65,21.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Moss, Mr. Albert Johan",1,7.775,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Porter, Mr. Walter Chamberlain",0,52.0,47.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Zabour, Miss. Hileni",0,14.4542,14.5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Attalah, Miss. Malake",0,14.4583,17.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Connors, Mr. Patrick",0,7.75,70.5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Baxter, Mr. Quigg Edmond",0,247.5208,24.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Andersson, Miss. Ellis Anna Maria",0,31.275,2.0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Hickman, Mr. Stanley George",0,73.5,21.0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Nasser, Mr. Nicholas",0,30.0708,32.5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Webber, Miss. Susan",1,13.0,32.5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"White, Mr. Percival Wayland",0,77.2875,54.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Nicola-Yarred, Master. Elias",1,11.2417,12.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"McMahon, Mr. Martin",0,7.75,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Madsen, Mr. Fridtjof Arne",1,7.1417,24.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Peter, Miss. Anna",1,22.3583,-999.0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Ekstrom, Mr. Johan",0,6.975,45.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Drazenoic, Mr. Jozef",0,7.8958,33.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Coelho, Mr. Domingos Fernandeo",0,7.05,20.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Robins, Mrs. Alexander A (Grace Charity Laury)",0,14.5,47.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,26.0,29.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Sobey, Mr. Samuel James Hayden",0,13.0,25.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Richard, Mr. Emile",0,15.0458,23.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Newsom, Miss. Helen Monypeny",1,26.2833,19.0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Futrelle, Mr. Jacques Heath",0,53.1,37.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Giglio, Mr. Victor",0,79.2,24.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Boulos, Mrs. Joseph (Sultana)",0,15.2458,-999.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Nysten, Miss. Anna Sofia",1,7.75,22.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,15.85,24.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Burke, Mr. Jeremiah",0,6.75,19.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Andrew, Mr. Edgardo Samuel",0,11.5,18.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Nicholls, Mr. Joseph Charles",0,36.75,19.0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Andersson, Mr. August Edvard (""Wennerstrom"")",1,7.7958,27.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Byles, Rev. Thomas Roussel Davids",0,13.0,42.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Pears, Mrs. Thomas (Edith Wearne)",1,66.6,22.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"van Billiard, Mr. Austin Blyler",0,14.5,40.5,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Olsen, Mr. Ole Martin",0,7.3125,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Williams, Mr. Charles Duane",0,61.3792,51.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Gilnagh, Miss. Katherine ""Katie""",1,7.7333,16.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Corn, Mr. Harry",0,8.05,30.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Smiljanic, Mr. Mile",0,8.6625,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Sage, Master. Thomas Henry",0,69.55,-999.0,3,8,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,15.75,40.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Bengtsson, Mr. John Viktor",0,7.775,26.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Calic, Mr. Jovo",0,8.6625,17.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Panula, Master. Eino Viljami",0,39.6875,1.0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Goldsmith, Master. Frank John William ""Frankie""",1,20.525,9.0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0,27.9,45.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Baumann, Mr. John D",0,25.925,-999.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Ling, Mr. Lee",0,56.4958,28.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Rice, Master. Arthur",0,29.125,4.0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Johnson, Miss. Eleanor Ileen",1,11.1333,1.0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Smith, Mr. James Clinch",0,30.6958,56.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Lefebre, Master. Henry Forbes",0,25.4667,-999.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Isham, Miss. Ann Elizabeth",0,28.7125,50.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Hale, Mr. Reginald",0,13.0,30.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Leonard, Mr. Lionel",0,0.0,36.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Sage, Miss. Constance Gladys",0,69.55,-999.0,3,8,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Pernot, Mr. Rene",0,15.05,-999.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Asplund, Master. Clarence Gustaf Hugo",0,31.3875,9.0,3,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Becker, Master. Richard F",1,39.0,1.0,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Kink-Heilmann, Miss. Luise Gretchen",1,22.025,4.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,15.5,-999.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,26.55,45.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Bourke, Mr. John",0,15.5,40.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Turcin, Mr. Stjepan",0,7.8958,36.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Pinsky, Mrs. (Rosa)",1,13.0,32.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Carbines, Mr. William",0,13.0,19.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Navratil, Master. Michel M",1,26.0,3.0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Lurette, Miss. Elise",1,146.5208,58.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Mernagh, Mr. Robert",0,7.75,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Olsen, Mr. Karl Siegwart Andreas",0,8.4042,42.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Madigan, Miss. Margaret ""Maggie""",1,7.75,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Yrois, Miss. Henriette (""Mrs Harbeck"")",0,13.0,24.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Sage, Mr. Frederick",0,69.55,-999.0,3,8,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Johanson, Mr. Jakob Alfred",0,6.4958,34.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Youseff, Mr. Gerious",0,7.225,45.5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Cohen, Mr. Gurshon ""Gus""",1,8.05,18.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Strom, Miss. Telma Matilda",0,10.4625,2.0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Albimona, Mr. Nassef Cassem",1,18.7875,26.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Carr, Miss. Helen ""Ellen""",1,7.75,16.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Cameron, Miss. Clear Annie",1,21.0,35.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Perkin, Mr. John Henry",0,7.25,22.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Givard, Mr. Hans Kristensen",0,13.0,30.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Kiernan, Mr. Philip",0,7.75,-999.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Newell, Miss. Madeleine",1,113.275,31.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Honkanen, Miss. Eliina",1,7.925,27.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Jacobsohn, Mr. Sidney Samuel",0,27.0,42.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Bazzani, Miss. Albina",1,76.2917,32.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Harris, Mr. Walter",0,10.5,30.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Sunderland, Mr. Victor Francis",1,8.05,16.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Bracken, Mr. James H",0,13.0,27.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Hoyt, Mr. Frederick Maxfield",1,90.0,38.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Berglund, Mr. Karl Ivar Sven",0,9.35,22.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Mellors, Mr. William John",1,10.5,19.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Lovell, Mr. John Hall (""Henry"")",0,7.25,20.5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Fahlstrom, Mr. Arne Jonas",0,13.0,18.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Lefebre, Miss. Mathilde",0,25.4667,-999.0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,83.475,35.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Larsson, Mr. Bengt Edvin",0,7.775,29.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Sjostedt, Mr. Ernst Adolf",0,13.5,59.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Leyson, Mr. Robert William Norman",0,10.5,24.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Hold, Mr. Stephen",0,26.0,44.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Collyer, Miss. Marjorie ""Lottie""",1,26.25,8.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Pengelly, Mr. Frederick William",0,10.5,19.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Zabour, Miss. Thamine",0,14.4542,-999.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Murphy, Miss. Katherine ""Kate""",1,15.5,-999.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Coleridge, Mr. Reginald Charles",0,10.5,29.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Maenpaa, Mr. Matti Alexanteri",0,7.125,22.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Attalah, Mr. Sleiman",0,7.225,30.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Minahan, Dr. William Edward",0,90.0,44.0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Lindahl, Miss. Agda Thorilda Viktoria",0,7.775,25.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Hamalainen, Mrs. William (Anna)",1,14.5,24.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Beckwith, Mr. Richard Leonard",1,52.5542,37.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Carter, Rev. Ernest Courtenay",0,26.0,54.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",0,10.4625,29.0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Lobb, Mr. William Arthur",0,16.1,30.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,20.2125,41.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,15.2458,29.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Cherry, Miss. Gladys",1,86.5,30.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Ward, Miss. Anna",1,512.3292,35.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Taussig, Mr. Emil",0,79.65,52.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
